SKU_Code,Design_No.,Stock,Category,Size,Color
SET196-KR-NP-XS,SET196,67,kurta set,XS,red
SET196-KR-NP-XXL,SET196,26,kurta set,XXL,red
SET196-KR-NP-XXXL,SET196,22,kurta set,XXXL,red
SET197-KR-NP-L,SET197,358,kurta set,L,mustard
SET197-KR-NP-M,SET197,11,kurta set,M,mustard
SET197-KR-NP-S,SET197,196,kurta set,S,mustard
SET197-KR-NP-XL,SET197,117,kurta set,XL,mustard
SET197-KR-NP-XS,SET197,191,kurta set,XS,mustard
SET197-KR-NP-XXL,SET197,104,kurta set,XXL,mustard
SET197-KR-NP-XXXL,SET197,49,kurta set,XXXL,mustard
SET198-KR-NP-L,SET198,2,kurta set,L,pink
SET198-KR-NP-M,SET198,3,kurta set,M,pink
SET198-KR-NP-S,SET198,4,kurta set,S,pink
SET198-KR-NP-XL,SET198,3,kurta set,XL,pink
SET198-KR-NP-XS,SET198,25,kurta set,XS,pink
SET198-KR-NP-XXL,SET198,3,kurta set,XXL,pink
SET198-KR-NP-XXXL,SET198,2,kurta set,XXXL,pink
SET199-KR-NP-L,SET199,11,kurta set,L,peach
SET199-KR-NP-M,SET199,44,kurta set,M,peach
SET199-KR-NP-S,SET199,45,kurta set,S,peach
SET199-KR-NP-XL,SET199,5,kurta set,XL,peach
SET199-KR-NP-XS,SET199,40,kurta set,XS,peach
SET199-KR-NP-XXL,SET199,7,kurta set,XXL,peach
SET199-KR-NP-XXXL,SET199,21,kurta set,XXXL,peach
SET200-KR-NP-L,SET200,1,kurta set,L,maroon
SET200-KR-NP-M,SET200,3,kurta set,M,maroon
SET200-KR-NP-S,SET200,13,kurta set,S,maroon
SET200-KR-NP-XL,SET200,2,kurta set,XL,maroon
SET200-KR-NP-XS,SET200,68,kurta set,XS,maroon
SET200-KR-NP-XXL,SET200,5,kurta set,XXL,maroon
SET200-KR-NP-XXXL,SET200,1,kurta set,XXXL,maroon
SET201-KR-NP-L,SET201,2,kurta set,L,olive
SET201-KR-NP-M,SET201,4,kurta set,M,olive
SET201-KR-NP-S,SET201,2,kurta set,S,olive
SET201-KR-NP-XL,SET201,2,kurta set,XL,olive
SET201-KR-NP-XS,SET201,11,kurta set,XS,olive
SET201-KR-NP-XXL,SET201,1,kurta set,XXL,olive
SET201-KR-NP-XXXL,SET201,2,kurta set,XXXL,olive
SET202-KR-NP-XL,SET202,1,kurta set,XL,teal
SET202-KR-NP-XXXL,SET202,1,kurta set,XXXL,teal
SET203-KR-DPT-L,SET203,8,kurta set,L,maroon
SET203-KR-DPT-M,SET203,37,kurta set,M,maroon
SET203-KR-DPT-S,SET203,16,kurta set,S,maroon
SET203-KR-DPT-XL,SET203,7,kurta set,XL,maroon
SET203-KR-DPT-XS,SET203,14,kurta set,XS,maroon
SET203-KR-DPT-XXL,SET203,12,kurta set,XXL,maroon
SET203-KR-DPT-XXXL,SET203,8,kurta set,XXXL,maroon
SET204-KR-DPT-L,SET204,4,kurta set,L,green
SET204-KR-DPT-M,SET204,2,kurta set,M,green
SET204-KR-DPT-S,SET204,5,kurta set,S,green
SET204-KR-DPT-XL,SET204,4,kurta set,XL,green
SET204-KR-DPT-XS,SET204,3,kurta set,XS,green
SET204-KR-DPT-XXL,SET204,3,kurta set,XXL,green
SET204-KR-DPT-XXXL,SET204,5,kurta set,XXXL,green
SET205-KR-DPT-L,SET205,2,kurta set,L,yellow
SET205-KR-DPT-M,SET205,9,kurta set,M,yellow
SET205-KR-DPT-S,SET205,15,kurta set,S,yellow
SET205-KR-DPT-XL,SET205,3,kurta set,XL,yellow
SET205-KR-DPT-XS,SET205,15,kurta set,XS,yellow
SET205-KR-DPT-XXL,SET205,6,kurta set,XXL,yellow
SET205-KR-DPT-XXXL,SET205,4,kurta set,XXXL,yellow
SET206-KR-PP-S,SET206,1,kurta set,S,cream
SET206-KR-PP-XS,SET206,2,kurta set,XS,cream
SET206-KR-PP-XXL,SET206,1,kurta set,XXL,cream
SET209-KR-PP-L,SET209,7,kurta set,L,pink
SET209-KR-PP-M,SET209,15,kurta set,M,pink
SET209-KR-PP-S,SET209,38,kurta set,S,pink
SET209-KR-PP-XL,SET209,8,kurta set,XL,pink
